warehouse,product,alpha,unit_code,long_description,nominal_key,purchase_key,analysis_a,analysis_b,last_supplier,physical_qty,on_order_qty,current_cost,min_stock_level
ES,EL3AB3H244,ELECTR,EACH,3A BRUSHES 3\4*3\83H,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL3AMPG111,ELECTR,EACH,3AMP GLASS FUSES,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL3CFLX510,ELEC,EACH,1.5MM 3 CORE FLEX CABLE,099,099,099,ELEC,LF08,220,0,0.97,0
ES,EL3CREL301,ELECTR,EACH,3TH 22E CONTROL RELAY 220V,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL3F24V386,ELECTR,EACH,3TF 3324V DC SIEMENS CONT5ACTOR,E99,E99,099,ELEC,BR10,0,0,95,0
ES,EL3FXCR403,ELECTR,EACH,2.5MM 3 CORE FLEX CABLE,099,099,099,ELEC,LF08,0,0,2.44,0
ES,EL3MMLU347,ELECTR,EACH,1.5*3MM LUGS,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL3MPOL149,ELECTR,EACH,3MM POLY STRAPPING,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL3RT40520,ELECTR,EACH,15KW/400V 24V DC CONTACTOR 3RT1034 - 1BB,099,099,099,ELEC,LN10,8,0,110,0
ES,EL3RT41515,ELECTR,EACH,CONTACTOR 3RT1015.113B41,099,099,099,ELEC,LN10,2,0,137,0
ES,EL3RT42516,ELECTR,EACH,CONTACTOR 3RT1016 -1BB42,099,099,099,ELEC,LB06,5,0,46,0
ES,EL3RTRH479,ELECTR,EACH,SIEMENS AUX SWITCH BLOCK 3RT 1036 +3RH,E99,E99,099,OBS,BT02,0,0,0,0
ES,EL3RU16409,ELECTR,EACH,SIEMENS 3RU 116 CBO THERMAL OVERLOAD,E99,E99,099,OBS,BT02,0,0,0,0
ES,EL3T22R369,ELECTR,EACH,3TB 4022 RELAY,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL3T22R370,ELECTR,EACH,3TH 3022 RELAY,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL3T40E316,ELECTR,EACH,3TH2040E S\C RELAY,E99,E99,099,OBS,BO01,0,0,0,0
ES,EL3T83S310,ELECTR,EACH,3TH 83 S\CONTACTORS,E99,E99,099,OBS,,0,0,0,0
ES,EL3TCAB309,ELECTR,EACH,3TC AUX CONTACTORS,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL3TCKIT88,ELECTR,EACH,3TA 24 SPARE CON KIT,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL3TFSC273,ELECTR,EACH,SEIMENS 3TF42 CONTACTORS,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL3TH231E401,ELECTR,EACH,RELAY 3TH231E,E99,E99,099,OBS,,0,0,0,0
ES,EL3THVC484,ELECTR,EACH,3TH 2022E 24 VAC CONTACTOR,E99,E99,099,OBS,BO01,0,0,0,0
ES,EL3TREL368,ELECTR,EACH,3TH 210E 24V RELAY,E99,E99,099,OBS,BO01,0,0,0,0
ES,EL400DS366,ELECTR,EACH,WILCO DIMMER SWITCH 400 WATT,E99,E99,099,OBS,BD28,0,0,0,0
ES,EL400WH235,ELECTR,EACH,400W HPS LAMPS,099,099,099,ELEC,LT11,16,0,65,0
ES,EL40E20482,ELECTR,EACH,3TH2040E 220 VAC CONTACTOR,E99,E99,099,OBS,BO01,0,0,0,0
ES,EL40EBU298,ELECTR,EACH,40 WATTS ES BULBS,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL40TRP491,ELECTR,EACH,MCB 40 AMP TRIPLE POLE,E99,E99,099,OBS,BO01,0,0,0,0
ES,EL40WLB250,ELECTR,EACH,40W BC LIGHT BULBS,099,099,099,ELEC,LA23,10,0,5.217,0
ES,EL40WLS253,ELECTR,EACH,40W ES SCREW ON BULB,E99,E99,099,OBS,Unknown,0,0,0,0
